"idno";"intnum";"start";"unlikelystart";"end";"unlikelyend"
276;167;2021-07-18 15:42:00;"";2021-07-18 16:45:00;""
277;195;2021-07-15 19:25:00;"";2021-07-15 20:15:00;""
279;195;2021-07-08 19:52:00;"";2021-07-08 20:47:00;""
281;195;2021-07-10 17:20:00;"";2021-07-10 17:51:00;""
282;195;2021-07-09 19:31:00;"";2021-07-09 20:29:00;""
283;166;2021-08-04 11:52:00;"";2021-08-04 12:50:00;""
284;166;2021-08-03 15:55:00;"";2021-08-03 16:51:00;""
285;166;2021-07-28 11:12:00;"";2021-07-28 12:02:00;""
286;166;2021-08-03 17:38:00;"";2021-08-03 18:45:00;""
287;166;2021-08-01 19:05:00;"";2021-08-01 19:57:00;""
289;159;2021-08-05 09:21:00;"";2021-08-05 10:16:00;""
290;159;2021-08-11 11:31:00;"";2021-08-11 12:08:00;""
291;159;2021-08-11 13:35:00;"";2021-08-11 14:36:00;""
293;159;2021-08-20 11:20:00;"";2021-08-20 12:16:00;""
294;159;2021-08-06 16:27:00;"";2021-08-06 17:21:00;""
295;122;2021-08-04 16:34:00;"";2021-08-04 17:36:00;""
296;122;2021-08-07 17:00:00;"";2021-08-07 17:57:00;""
297;122;2021-08-06 15:23:00;"";2021-08-06 16:31:00;""
298;122;2021-08-13 11:59:00;"";2021-08-13 12:41:00;""
299;122;2021-08-12 18:10:00;"";2021-08-12 18:58:00;""
301;2;2021-08-13 13:52:00;"";2021-08-13 14:30:00;""
302;2;2021-08-12 17:06:00;"";2021-08-12 17:57:00;""
307;125;2021-08-06 15:45:00;"";2021-08-06 16:38:00;""
308;125;2021-08-04 18:17:00;"";2021-08-04 19:10:00;""
309;125;2021-08-10 16:48:00;"";2021-08-10 17:35:00;""
310;125;2021-08-06 17:48:00;"";2021-08-06 18:54:00;""
311;125;2021-08-07 09:19:00;"";2021-08-07 09:55:00;""
312;125;2021-08-06 21:21:00;"";2021-08-06 22:27:00;""
313;43;2021-09-04 20:09:00;"";2021-09-04 21:03:00;""
314;43;2021-09-07 12:51:00;"";2021-09-07 13:39:00;""
315;43;2021-09-15 11:56:00;"";2021-09-15 12:51:00;""
316;43;2021-09-11 14:22:00;"";2021-09-11 15:09:00;""
317;43;2021-09-07 17:06:00;"";2021-09-07 18:06:00;""
320;168;2021-08-16 12:05:00;"";2021-08-16 13:25:00;""
321;168;2021-08-26 15:12:00;"";2021-08-26 16:26:00;""
322;168;2021-08-20 19:18:00;"";2021-08-20 20:11:00;""
323;168;2021-08-22 17:52:00;"";2021-08-22 18:52:00;""
324;168;2021-08-16 14:39:00;"";2021-08-16 15:48:00;""
326;77;2021-08-09 14:29:00;"";2021-08-09 15:26:00;""
329;77;2021-08-09 16:23:00;"";2021-08-09 17:39:00;""
330;77;2021-08-04 20:33:00;"";2021-08-04 21:50:00;""
331;154;2021-07-23 16:41:00;"";2021-07-23 17:42:00;""
332;154;2021-07-23 19:19:00;"";2021-07-23 20:08:00;""
