"idno";"intnum";"speed"
21456;"272";210
21471;"856";315
21479;"374";630
21483;"756";1260
21489;"796";1260
21491;"248";1260
21492;"958";210
21522;"353";630
21525;"540";1260
21534;"1146";252
21535;"540";252
21540;"725";630
21545;"178";1260
21553;"476";420
21564;"539";1260
21575;"964";1260
21578;"481";1260
21579;"867";630
21581;"698";1260
21590;"833";420
21609;"471";315
21616;"178";420
21619;"222";420
21630;"268";630
21633;"1093";210
21652;"348";252
21656;"442";630
21676;"796";315
21684;"987";420
21688;"756";210
21699;"616";315
21709;"839";180
21742;"595";630
21748;"516";630
21751;"890";630
21752;"608";630
21753;"1103";630
21756;"1048";420
21759;"1008";420
21762;"903";1260
